full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-36.378143310546875,1.9631404876708984,1.9631404876708984,-34.985565185546875,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-30.031606674194336,6.427908897399902,6.427908897399902,-30.492511749267578,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-25.510761260986328,4.959042072296143,4.959042072296143,-24.04503059387207,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-24.043598175048828,11.672933578491211,11.672933578491211,-23.687538146972656,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-24.746726989746094,6.18255615234375,6.18255615234375,-24.763687133789062,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-26.232105255126953,9.574069023132324,9.574069023132324,-25.994491577148438,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-23.64004135131836,11.305585861206055,11.305585861206055,-23.31591796875,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-23.422346115112305,9.078116416931152,9.078116416931152,-22.79737091064453,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Skelpolu - Resurrection.npz,-33.53561782836914,-0.7319601774215698,-0.7319601774215698,-30.784404754638672,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Broken Man.npz,-28.577533721923828,7.719625473022461,7.719625473022461,-27.85419273376465,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Like Horses.npz,-23.301292419433594,7.568215370178223,7.568215370178223,-22.3848876953125,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Doppler Shift - Atrophy.npz,-25.43401527404785,6.96586799621582,6.96586799621582,-24.54789924621582,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises (Baumi) - SDRNR.npz,-23.73065757751465,6.0341362953186035,6.0341362953186035,-22.76303482055664,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises - Falcon 69.npz,-24.59062385559082,5.581780433654785,5.581780433654785,-23.406421661376953,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Long Wait - Dark Horses.npz,-28.359859466552734,9.977457046508789,9.977457046508789,-28.060787200927734,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Mountaineering Club - Mallory.npz,-28.9405460357666,11.051502227783203,11.051502227783203,-28.58820152282715,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Sunshine Garcia Band - For I Am The Moon.npz,-24.4054012298584,10.743535041809082,10.743535041809082,-24.001461029052734,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Timboz - Pony.npz,-30.32672119140625,5.440027236938477,5.440027236938477,-28.805606842041016,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Tom McKenzie - Directions.npz,-28.758058547973633,11.660419464111328,11.660419464111328,-28.555408477783203,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Triviul feat.npz,-23.65488052368164,8.896353721618652,8.896353721618652,-23.485851287841797,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/We Fell From The Sky - Not You.npz,-30.346126556396484,6.68171501159668,6.68171501159668,-29.420486450195312,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Zeno - Signs.npz,-23.9130859375,9.232542991638184,9.232542991638184,-23.4610538482666,8akgy5kl,MUSDB18HQDatasource
