full_path,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-24.825021743774414,3.0314888954162598,3.0314888954162598,-22.573232650756836,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-21.385581970214844,5.785074234008789,5.785074234008789,-21.940876007080078,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-22.321014404296875,7.4254608154296875,7.4254608154296875,-22.033702850341797,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-24.438817977905273,9.406967163085938,9.406967163085938,-23.70153045654297,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-28.466827392578125,4.754056930541992,4.754056930541992,-27.23737335205078,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-21.08428955078125,9.513700485229492,9.513700485229492,-20.65606117248535,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-29.508760452270508,7.754104137420654,7.754104137420654,-29.915660858154297,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-26.930461883544922,2.5896286964416504,2.5896286964416504,-27.567731857299805,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Skelpolu - Resurrection.npz,-18.33858299255371,13.634783744812012,13.634783744812012,-18.335365295410156,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Broken Man.npz,-21.481460571289062,13.394577026367188,13.394577026367188,-21.583343505859375,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Like Horses.npz,-22.702253341674805,16.923080444335938,16.923080444335938,-22.805736541748047,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Doppler Shift - Atrophy.npz,-28.607440948486328,0.4957326650619507,0.4957326650619507,-28.52054214477539,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises (Baumi) - SDRNR.npz,-26.12746238708496,3.5642590522766113,3.5642590522766113,-24.683502197265625,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises - Falcon 69.npz,-24.082223892211914,6.069957733154297,6.069957733154297,-23.32208824157715,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Long Wait - Dark Horses.npz,-27.112037658691406,6.298029899597168,6.298029899597168,-26.35714340209961,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Mountaineering Club - Mallory.npz,-24.401142120361328,9.775838851928711,9.775838851928711,-23.53285789489746,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Sunshine Garcia Band - For I Am The Moon.npz,-24.26210594177246,3.4147047996520996,3.4147047996520996,-23.730392456054688,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Timboz - Pony.npz,-30.223472595214844,1.3884882926940918,1.3884882926940918,-30.713651657104492,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Tom McKenzie - Directions.npz,-28.625879287719727,2.8277909755706787,2.8277909755706787,-25.904481887817383,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Triviul feat.npz,-24.891279220581055,11.189009666442871,11.189009666442871,-24.87177085876465,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/We Fell From The Sky - Not You.npz,-31.943832397460938,2.1108109951019287,2.1108109951019287,-31.59063720703125,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Zeno - Signs.npz,-28.991296768188477,2.7202401161193848,2.7202401161193848,-28.267908096313477,w86ixw22,MUSDB18HQDatasource
