full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,guitar/PredDecibel,guitar/SNR,guitar/SignalNoiseRatio,guitar/TargetDecibel,piano/PredDecibel,piano/SNR,piano/SignalNoiseRatio,piano/TargetDecibel,wind/PredDecibel,wind/SNR,wind/SignalNoiseRatio,wind/TargetDecibel,bowed_strings/PredDecibel,bowed_strings/SNR,bowed_strings/SignalNoiseRatio,bowed_strings/TargetDecibel,percussion/PredDecibel,percussion/SNR,percussion/SignalNoiseRatio,percussion/TargetDecibel,other_keys/PredDecibel,other_keys/SNR,other_keys/SignalNoiseRatio,other_keys/TargetDecibel,other_plucked/PredDecibel,other_plucked/SNR,other_plucked/SignalNoiseRatio,other_plucked/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/0358fd1e-244a-4422-9a42-29b5d68f6e4b.npz,-33.450660705566406,6.057704925537109,6.057704925537109,-33.48836135864258,-32.94437026977539,4.791207313537598,4.791207313537598,-30.73606300354004,-38.188377380371094,,-102.62892150878906,-120.0,-28.05182647705078,2.277829170227051,2.277829170227051,-29.330013275146484,-45.816341400146484,0.28775253891944885,0.28775253891944885,-37.49302291870117,-84.60621643066406,,-55.549076080322266,-120.0,-62.97054672241211,,-77.8383560180664,-120.0,-44.46722412109375,0.6060945391654968,0.6060945391654968,-32.142433166503906,-57.13555908203125,-0.06127985566854477,-0.06127985566854477,-39.16152572631836,-75.76561737060547,,-61.000885009765625,-120.0,-119.99992370605469,,0.0,-120.0,69lnvw21,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/05e7af85-9721-4b42-952a-ccd34feb6033.npz,-32.768394470214844,7.581342697143555,7.581342697143555,-32.111732482910156,-30.0374755859375,9.301608085632324,9.301608085632324,-29.702970504760742,-32.1461067199707,9.171156883239746,9.171156883239746,-31.780061721801758,-31.786157608032227,6.32096004486084,6.32096004486084,-30.405752182006836,-53.91666793823242,,,-120.0,-82.73666381835938,,-55.29840850830078,-120.0,-65.77234649658203,,-71.2886734008789,-120.0,-52.997398376464844,,,-120.0,-61.89332580566406,,,-120.0,-72.01779174804688,,-62.635398864746094,-120.0,-119.99999237060547,,0.0,-120.0,69lnvw21,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/06bfc6e7-e5ac-4827-bf8e-ffaf1675872f.npz,-27.743471145629883,12.590112686157227,12.590112686157227,-27.51344871520996,-32.50746154785156,8.170965194702148,8.170965194702148,-32.347023010253906,-29.027402877807617,7.986705303192139,7.986705303192139,-29.538410186767578,-29.879549026489258,6.1837358474731445,6.1837358474731445,-28.401010513305664,-52.622459411621094,,,-120.0,-90.19324493408203,,-42.41314697265625,-120.0,-83.77678680419922,,-49.10575866699219,-120.0,-54.445526123046875,3.865358352661133,3.865358352661133,-52.283164978027344,-87.7265625,,,-120.0,-75.99848937988281,,-54.70641326904297,-120.0,-119.99999237060547,,0.0,-120.0,69lnvw21,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/07fb2df2-91d6-458d-9230-9638b4edac08.npz,-36.29683303833008,7.538725852966309,7.538725852966309,-35.46328353881836,-29.927099227905273,13.284795761108398,13.284795761108398,-29.805604934692383,-37.337284088134766,7.123562335968018,7.123562335968018,-37.14490509033203,-32.9529914855957,4.661250114440918,4.661250114440918,-32.573875427246094,-43.305824279785156,2.056905508041382,2.056905508041382,-39.38029861450195,-75.93537902832031,,-61.516048431396484,-120.0,-54.964149475097656,0.40636467933654785,0.40636467933654785,-44.74441909790039,-83.7801513671875,,,-120.0,-73.04314422607422,,,-120.0,-76.15765380859375,,-59.372039794921875,-120.0,-119.99993133544922,,0.0,-120.0,69lnvw21,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/0d528a19-cb0f-4421-b250-444f9343e51c.npz,-25.01705551147461,8.672444343566895,8.672444343566895,-24.466867446899414,-25.66136360168457,9.686351776123047,9.686351776123047,-25.348506927490234,-26.416730880737305,13.204521179199219,13.204521179199219,-26.186798095703125,-28.933916091918945,4.779011249542236,4.779011249542236,-27.044570922851562,-70.94729614257812,,,-120.0,-79.17045593261719,,-55.924259185791016,-120.0,-76.54313659667969,,-58.57829666137695,-120.0,-75.78218078613281,,,-120.0,-56.27088928222656,,,-120.0,-71.33204650878906,,-59.24811553955078,-120.0,-119.99998474121094,,0.0,-120.0,69lnvw21,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/11845abc-8ca3-4fb2-bd84-521aeeff56f4.npz,-28.61932945251465,10.804466247558594,10.804466247558594,-28.53472900390625,-24.706247329711914,11.99543571472168,11.99543571472168,-24.17966079711914,-34.451717376708984,-0.2276991605758667,-0.2276991605758667,-27.511396408081055,-26.138410568237305,-0.36377739906311035,-0.36377739906311035,-28.76087188720703,-43.001258850097656,,,-120.0,-83.8632583618164,,-54.7102165222168,-120.0,-54.28053283691406,,-84.69314575195312,-120.0,-45.87818145751953,,,-120.0,-50.41582489013672,0.14560355246067047,0.14560355246067047,-31.610595703125,-70.05245971679688,,-65.0401611328125,-120.0,-119.99992370605469,,0.0,-120.0,69lnvw21,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/125fc63d-9b69-4170-a46a-42c91bc28446.npz,-28.303726196289062,10.91047477722168,10.91047477722168,-28.39012336730957,-46.055763244628906,3.707688808441162,3.707688808441162,-44.06062698364258,-32.116668701171875,14.359992980957031,14.359992980957031,-32.12579345703125,-31.713523864746094,3.541245460510254,3.541245460510254,-32.061988830566406,-59.412208557128906,,,-120.0,-40.468406677246094,2.0139667987823486,2.0139667987823486,-32.79975128173828,-60.47201156616211,,-77.7957763671875,-120.0,-80.64452362060547,,,-120.0,-72.6109619140625,,,-120.0,-74.81881713867188,,-59.18065643310547,-120.0,-119.99999237060547,,0.0,-120.0,69lnvw21,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/1a32e987-cae8-458f-9c26-d9a6abf5348d.npz,-33.02515411376953,11.281943321228027,11.281943321228027,-32.74550247192383,-29.539886474609375,12.533580780029297,12.533580780029297,-29.379594802856445,-33.546348571777344,9.08719253540039,9.08719253540039,-33.08759307861328,-34.26723861694336,5.246501922607422,5.246501922607422,-33.22429275512695,-41.66135787963867,3.236581563949585,3.236581563949585,-38.618797302246094,-82.70755004882812,,-54.788719177246094,-120.0,-62.64622116088867,,-76.77761840820312,-120.0,-82.8770751953125,,,-120.0,-71.17851257324219,,,-120.0,-73.3861083984375,,-62.10089111328125,-120.0,-119.99999237060547,,0.0,-120.0,69lnvw21,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/1afe1b3b-3e2e-48d3-b859-f50e222cbaf4.npz,-32.64785385131836,7.199134826660156,7.199134826660156,-31.761615753173828,-31.196958541870117,8.006231307983398,8.006231307983398,-30.77674102783203,-23.69684410095215,14.933298110961914,14.933298110961914,-23.5837459564209,-31.19300651550293,4.1749138832092285,4.1749138832092285,-30.401241302490234,-50.42232894897461,0.3699301481246948,0.3699301481246948,-37.994937896728516,-84.44576263427734,,-54.78490447998047,-120.0,-65.02213287353516,0.02952406369149685,0.02952406369149685,-45.33448791503906,-83.57945251464844,,,-120.0,-74.65711212158203,,,-120.0,-65.53528594970703,,-71.24073791503906,-120.0,-119.99998474121094,,0.0,-120.0,69lnvw21,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/1f98fe4d-26c7-460f-9f68-33964bc4d8d3.npz,-35.75419998168945,5.8812479972839355,5.8812479972839355,-34.50276565551758,-33.027000427246094,11.332983016967773,11.332983016967773,-32.555625915527344,-35.643245697021484,8.520414352416992,8.520414352416992,-35.549747467041016,-37.950523376464844,4.173740863800049,4.173740863800049,-34.667381286621094,-50.86922073364258,,,-120.0,-67.17198944091797,,-66.68550872802734,-120.0,-73.01392364501953,,-65.65213012695312,-120.0,-86.04867553710938,,,-120.0,-55.48322677612305,,,-120.0,-70.22615814208984,,-65.11172485351562,-120.0,-119.99999237060547,,0.0,-120.0,69lnvw21,MoisesDBDatasource
