full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-35.78940200805664,1.2359910011291504,1.2359910011291504,-34.985565185546875,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-29.797805786132812,5.266995429992676,5.266995429992676,-30.492511749267578,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-26.121288299560547,4.845446586608887,4.845446586608887,-24.04503059387207,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-23.984416961669922,12.821880340576172,12.821880340576172,-23.687538146972656,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-25.370948791503906,7.854489326477051,7.854489326477051,-24.763687133789062,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-26.299407958984375,9.672996520996094,9.672996520996094,-25.994491577148438,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-23.573970794677734,11.34620475769043,11.34620475769043,-23.31591796875,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-23.171581268310547,10.275585174560547,10.275585174560547,-22.79737091064453,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Skelpolu - Resurrection.npz,-42.52641677856445,0.05294675752520561,0.05294675752520561,-30.784404754638672,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Broken Man.npz,-28.34716796875,7.334760665893555,7.334760665893555,-27.85419273376465,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Like Horses.npz,-23.526721954345703,8.024613380432129,8.024613380432129,-22.3848876953125,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Doppler Shift - Atrophy.npz,-25.171463012695312,9.073031425476074,9.073031425476074,-24.54789924621582,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises (Baumi) - SDRNR.npz,-23.71490478515625,6.028209209442139,6.028209209442139,-22.76303482055664,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises - Falcon 69.npz,-27.33060646057129,2.9916439056396484,2.9916439056396484,-23.406421661376953,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Long Wait - Dark Horses.npz,-28.456830978393555,9.696149826049805,9.696149826049805,-28.060787200927734,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Mountaineering Club - Mallory.npz,-28.896703720092773,11.397283554077148,11.397283554077148,-28.58820152282715,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Sunshine Garcia Band - For I Am The Moon.npz,-24.255773544311523,11.454202651977539,11.454202651977539,-24.001461029052734,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Timboz - Pony.npz,-30.40621566772461,5.369314670562744,5.369314670562744,-28.805606842041016,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Tom McKenzie - Directions.npz,-28.78518295288086,11.060797691345215,11.060797691345215,-28.555408477783203,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Triviul feat.npz,-23.822938919067383,9.574790954589844,9.574790954589844,-23.485851287841797,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/We Fell From The Sky - Not You.npz,-31.017166137695312,5.490939140319824,5.490939140319824,-29.420486450195312,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Zeno - Signs.npz,-23.959365844726562,8.918323516845703,8.918323516845703,-23.4610538482666,gbsvyktp,MUSDB18HQDatasource
