full_path,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-25.73272705078125,2.8928160667419434,2.8928160667419434,-22.573232650756836,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-22.97050666809082,5.0812225341796875,5.0812225341796875,-21.940876007080078,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-22.517574310302734,6.6171040534973145,6.6171040534973145,-22.033702850341797,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-24.375015258789062,7.75809383392334,7.75809383392334,-23.70153045654297,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-28.302404403686523,4.295132637023926,4.295132637023926,-27.23737335205078,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-21.819488525390625,7.705936908721924,7.705936908721924,-20.65606117248535,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-29.913997650146484,5.85290002822876,5.85290002822876,-29.915660858154297,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-27.59229850769043,1.9275553226470947,1.9275553226470947,-27.567731857299805,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Skelpolu - Resurrection.npz,-18.595834732055664,11.28017520904541,11.28017520904541,-18.335365295410156,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Broken Man.npz,-23.265331268310547,6.017518043518066,6.017518043518066,-21.583343505859375,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Like Horses.npz,-22.706525802612305,16.021968841552734,16.021968841552734,-22.805736541748047,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Doppler Shift - Atrophy.npz,-29.134204864501953,1.816869854927063,1.816869854927063,-28.52054214477539,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises (Baumi) - SDRNR.npz,-28.228805541992188,2.6213572025299072,2.6213572025299072,-24.683502197265625,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises - Falcon 69.npz,-24.364479064941406,5.234375476837158,5.234375476837158,-23.32208824157715,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Long Wait - Dark Horses.npz,-26.780960083007812,6.155961990356445,6.155961990356445,-26.35714340209961,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Mountaineering Club - Mallory.npz,-24.158424377441406,10.186361312866211,10.186361312866211,-23.53285789489746,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Sunshine Garcia Band - For I Am The Moon.npz,-24.762765884399414,6.346839904785156,6.346839904785156,-23.730392456054688,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Timboz - Pony.npz,-29.241445541381836,-0.0601063147187233,-0.0601063147187233,-30.713651657104492,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Tom McKenzie - Directions.npz,-29.912996292114258,1.7660577297210693,1.7660577297210693,-25.904481887817383,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Triviul feat.npz,-25.056188583374023,12.052043914794922,12.052043914794922,-24.87177085876465,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/We Fell From The Sky - Not You.npz,-36.150733947753906,1.9204144477844238,1.9204144477844238,-31.59063720703125,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Zeno - Signs.npz,-30.09732437133789,2.294650077819824,2.294650077819824,-28.267908096313477,lhtpigg8,MUSDB18HQDatasource
