full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-36.09535598754883,4.588199615478516,4.588199615478516,-34.985565185546875,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-30.024507522583008,6.572566032409668,6.572566032409668,-30.492511749267578,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-25.078718185424805,5.241589069366455,5.241589069366455,-24.04503059387207,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-24.058307647705078,11.864607810974121,11.864607810974121,-23.687538146972656,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-24.81764793395996,7.350679397583008,7.350679397583008,-24.763687133789062,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-26.221101760864258,10.292787551879883,10.292787551879883,-25.994491577148438,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-23.574426651000977,11.239424705505371,11.239424705505371,-23.31591796875,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-23.252260208129883,9.790935516357422,9.790935516357422,-22.79737091064453,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Skelpolu - Resurrection.npz,-35.720733642578125,-0.44681620597839355,-0.44681620597839355,-30.784404754638672,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Broken Man.npz,-28.615015029907227,7.324567794799805,7.324567794799805,-27.85419273376465,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Like Horses.npz,-22.948753356933594,8.27382755279541,8.27382755279541,-22.3848876953125,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Doppler Shift - Atrophy.npz,-25.312400817871094,7.390973091125488,7.390973091125488,-24.54789924621582,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises (Baumi) - SDRNR.npz,-23.45502471923828,6.267930507659912,6.267930507659912,-22.76303482055664,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises - Falcon 69.npz,-24.039554595947266,6.127957344055176,6.127957344055176,-23.406421661376953,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Long Wait - Dark Horses.npz,-28.303165435791016,9.958747863769531,9.958747863769531,-28.060787200927734,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Mountaineering Club - Mallory.npz,-28.871562957763672,11.81662368774414,11.81662368774414,-28.58820152282715,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Sunshine Garcia Band - For I Am The Moon.npz,-24.379722595214844,10.98738956451416,10.98738956451416,-24.001461029052734,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Timboz - Pony.npz,-29.90485954284668,5.408786296844482,5.408786296844482,-28.805606842041016,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Tom McKenzie - Directions.npz,-28.746074676513672,11.601908683776855,11.601908683776855,-28.555408477783203,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Triviul feat.npz,-23.460466384887695,9.075952529907227,9.075952529907227,-23.485851287841797,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/We Fell From The Sky - Not You.npz,-30.17655372619629,6.673884391784668,6.673884391784668,-29.420486450195312,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Zeno - Signs.npz,-23.904281616210938,9.161748886108398,9.161748886108398,-23.4610538482666,4vxw0l1g,MUSDB18HQDatasource
