full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,guitar/PredDecibel,guitar/SNR,guitar/SignalNoiseRatio,guitar/TargetDecibel,piano/PredDecibel,piano/SNR,piano/SignalNoiseRatio,piano/TargetDecibel,wind/PredDecibel,wind/SNR,wind/SignalNoiseRatio,wind/TargetDecibel,bowed_strings/PredDecibel,bowed_strings/SNR,bowed_strings/SignalNoiseRatio,bowed_strings/TargetDecibel,percussion/PredDecibel,percussion/SNR,percussion/SignalNoiseRatio,percussion/TargetDecibel,other_keys/PredDecibel,other_keys/SNR,other_keys/SignalNoiseRatio,other_keys/TargetDecibel,other_plucked/PredDecibel,other_plucked/SNR,other_plucked/SignalNoiseRatio,other_plucked/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/0358fd1e-244a-4422-9a42-29b5d68f6e4b.npz,-34.497291564941406,4.9929399490356445,4.9929399490356445,-33.48836135864258,-30.848270416259766,6.647346019744873,6.647346019744873,-30.73606300354004,-34.37992477416992,,-106.44451904296875,-120.0,-31.030010223388672,3.784656524658203,3.784656524658203,-29.330013275146484,-43.02996063232422,0.08704736828804016,0.08704736828804016,-37.49302291870117,-70.02854919433594,,-70.77515411376953,-120.0,-57.53632354736328,,-82.90843200683594,-120.0,-81.55987548828125,3.749293682631105e-06,3.749293682631105e-06,-32.142433166503906,-51.663238525390625,0.21749231219291687,0.21749231219291687,-39.16152572631836,-61.799625396728516,,-75.1792221069336,-120.0,-119.99990844726562,,0.0,-120.0,uhnr1app,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/05e7af85-9721-4b42-952a-ccd34feb6033.npz,-32.811302185058594,6.5113372802734375,6.5113372802734375,-32.111732482910156,-30.09435272216797,8.634941101074219,8.634941101074219,-29.702970504760742,-32.209659576416016,8.37786865234375,8.37786865234375,-31.780061721801758,-33.93284606933594,4.083878040313721,4.083878040313721,-30.405752182006836,-48.7034797668457,,,-120.0,-72.89654541015625,,-64.2798843383789,-120.0,-52.82484436035156,,-85.2401123046875,-120.0,-72.70974731445312,,,-120.0,-61.05730438232422,,,-120.0,-62.71704864501953,,-71.16268920898438,-120.0,-119.99999237060547,,0.0,-120.0,uhnr1app,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/06bfc6e7-e5ac-4827-bf8e-ffaf1675872f.npz,-27.915592193603516,10.59062385559082,10.59062385559082,-27.51344871520996,-32.40230178833008,7.273151397705078,7.273151397705078,-32.347023010253906,-29.176883697509766,7.608701705932617,7.608701705932617,-29.538410186767578,-31.06304359436035,4.99208927154541,4.99208927154541,-28.401010513305664,-49.41939926147461,,,-120.0,-86.34245300292969,,-46.550662994384766,-120.0,-78.10838317871094,,-54.72624969482422,-120.0,-54.79435729980469,3.6587891578674316,3.6587891578674316,-52.283164978027344,-79.49608612060547,,,-120.0,-66.98912811279297,,-62.05602264404297,-120.0,-119.99999237060547,,0.0,-120.0,uhnr1app,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/07fb2df2-91d6-458d-9230-9638b4edac08.npz,-36.63747787475586,6.054749488830566,6.054749488830566,-35.46328353881836,-29.88507080078125,12.007545471191406,12.007545471191406,-29.805604934692383,-38.19801712036133,5.01445198059082,5.01445198059082,-37.14490509033203,-33.239898681640625,3.8126044273376465,3.8126044273376465,-32.573875427246094,-44.672969818115234,1.3773597478866577,1.3773597478866577,-39.38029861450195,-64.62361145019531,,-73.1026611328125,-120.0,-56.84610366821289,0.27373722195625305,0.27373722195625305,-44.74441909790039,-83.1446533203125,,,-120.0,-70.24153900146484,,,-120.0,-64.59965515136719,,-70.88435363769531,-120.0,-119.99999237060547,,0.0,-120.0,uhnr1app,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/0d528a19-cb0f-4421-b250-444f9343e51c.npz,-25.31197738647461,8.054155349731445,8.054155349731445,-24.466867446899414,-25.878751754760742,9.005861282348633,9.005861282348633,-25.348506927490234,-26.535518646240234,11.352375984191895,11.352375984191895,-26.186798095703125,-29.089046478271484,4.296502113342285,4.296502113342285,-27.044570922851562,-61.61520004272461,,,-120.0,-53.95262145996094,,-81.22891235351562,-120.0,-75.0076904296875,,-60.03244400024414,-120.0,-83.78526306152344,,,-120.0,-64.10254669189453,,,-120.0,-59.70404052734375,,-70.73347473144531,-120.0,-119.99996948242188,,0.0,-120.0,uhnr1app,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/11845abc-8ca3-4fb2-bd84-521aeeff56f4.npz,-28.624717712402344,9.071588516235352,9.071588516235352,-28.53472900390625,-24.50334930419922,11.282815933227539,11.282815933227539,-24.17966079711914,-33.79582977294922,0.09126618504524231,0.09126618504524231,-27.511396408081055,-28.098766326904297,-0.2847738265991211,-0.2847738265991211,-28.76087188720703,-39.3941764831543,,,-120.0,-86.0683364868164,,-52.72991180419922,-120.0,-60.682212829589844,,-78.58213806152344,-120.0,-77.5475845336914,,,-120.0,-43.39836883544922,-0.09439627826213837,-0.09439627826213837,-31.610595703125,-60.36405563354492,,-74.8428726196289,-120.0,-119.99996948242188,,0.0,-120.0,uhnr1app,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/125fc63d-9b69-4170-a46a-42c91bc28446.npz,-27.919734954833984,7.166142463684082,7.166142463684082,-28.39012336730957,-46.17662811279297,3.1595301628112793,3.1595301628112793,-44.06062698364258,-32.14051818847656,11.933820724487305,11.933820724487305,-32.12579345703125,-35.35479736328125,3.290829658508301,3.290829658508301,-32.061988830566406,-50.583396911621094,,,-120.0,-42.396907806396484,1.0563746690750122,1.0563746690750122,-32.79975128173828,-49.967010498046875,,-88.14198303222656,-120.0,-70.07347869873047,,,-120.0,-73.4697036743164,,,-120.0,-67.82522583007812,,-66.60623168945312,-120.0,-119.99999237060547,,0.0,-120.0,uhnr1app,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/1a32e987-cae8-458f-9c26-d9a6abf5348d.npz,-33.03661346435547,9.823812484741211,9.823812484741211,-32.74550247192383,-29.466999053955078,11.228036880493164,11.228036880493164,-29.379594802856445,-33.982662200927734,6.306644916534424,6.306644916534424,-33.08759307861328,-36.43378829956055,3.453350305557251,3.453350305557251,-33.22429275512695,-41.46604537963867,2.6010217666625977,2.6010217666625977,-38.618797302246094,-91.96678924560547,,-47.236873626708984,-120.0,-56.566139221191406,,-82.95106506347656,-120.0,-63.58369827270508,,,-120.0,-65.60586547851562,,,-120.0,-66.31564331054688,,-68.96826934814453,-120.0,-119.99991607666016,,0.0,-120.0,uhnr1app,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/1afe1b3b-3e2e-48d3-b859-f50e222cbaf4.npz,-32.682804107666016,6.057894706726074,6.057894706726074,-31.761615753173828,-31.082050323486328,6.24873161315918,6.24873161315918,-30.77674102783203,-23.898300170898438,12.809085845947266,12.809085845947266,-23.5837459564209,-33.41664505004883,3.4106922149658203,3.4106922149658203,-30.401241302490234,-45.055152893066406,0.6601600646972656,0.6601600646972656,-37.994937896728516,-74.66243743896484,,-64.70293426513672,-120.0,-61.457332611083984,-0.06157670170068741,-0.06157670170068741,-45.33448791503906,-79.11054992675781,,,-120.0,-60.45354461669922,,,-120.0,-60.921226501464844,,-75.41639709472656,-120.0,-119.99996948242188,,0.0,-120.0,uhnr1app,MoisesDBDatasource
/home/hice1/kwatchar3/Documents/data/moisesdb/intermediates/npz-coarse/test/1f98fe4d-26c7-460f-9f68-33964bc4d8d3.npz,-36.311031341552734,4.705704689025879,4.705704689025879,-34.50276565551758,-33.076717376708984,10.326192855834961,10.326192855834961,-32.555625915527344,-36.0889778137207,7.789376258850098,7.789376258850098,-35.549747467041016,-41.235069274902344,1.6348899602890015,1.6348899602890015,-34.667381286621094,-54.573341369628906,,,-120.0,-64.09146118164062,,-71.96662902832031,-120.0,-65.47781372070312,,-71.95547485351562,-120.0,-80.39620208740234,,,-120.0,-42.56670379638672,,,-120.0,-61.8858528137207,,-72.53943634033203,-120.0,-119.99999237060547,,0.0,-120.0,uhnr1app,MoisesDBDatasource
